"company","company_logo_url","company_url","contract_types","full_description","industry","location","posted_date","salary","title","url"
"YOURENT FACTORY","https://www.keejob.com/media/recruiter/recruiter_32501/logo-32501-20250611-154227.jpeg.300x300_q85_crop-smart.jpg","https://www.keejob.com/offres-emploi/companies/32501/","CDI, SIVP","Mannouba, La Manouba, Tunisie FrancaisAnglaisNeerlandais Locale, Internationale Stage PFE , Developpeur Flutter PROSERVICES TRAINING COMPANY•Ariana Project Reporting Specialist KROMBERG SCHUBERT CENTRE TEHNOLOGIQUE•Ariana Resp Infrastructure IT hotel Formateurs Vacataires INSTITUT DES SCIENCES ECONOMIQUES ET DE GESTION•Tunis 3x Developpeurs COBOL Secteur:informatique / telecoms Taille:Moins de 20 employes YouRent Factory est une filiale du groupe YouRent en Belgique, integrateur de solutions locatives.Elle vous permet d'automatiser la gestion de vos locations en vous accompagnant sur les aspects administratifs, financiers, techniques, comptables et commerciaux. Description de l'annonce Are you interested in digital innovation and/or real estate? Are you thrilled by providing customer happiness? You might be the candidate YouRENT Group is looking for! As a Customer Service Manager, you will be in charge of our customer support team to our leading Property Management Software, YouRENT. The customer service is the heart of our company as it is where customer aspirations (and issues...) meet product designers, project manager and sales department. You are in a key position to take the pulse of our customers and to feel the levers to action to reach the perfection. What are your responsibilities? ● Understand the customer’s business ● Solve customer issues promptly ● Identify improvement opportunities ● Identify upsales opportunities ● Manage a team of 3 people ● Actively participate to the product development ● 2Y+ successful experience in Business Software,Property Management or Real ● Practical knowledge of business software like Odoo ● Great analytical and synthetical skills ● Business minded and result oriented ● Fluent in English, Dutch. French is a plus ● Entrepreneurial spirit, curiosity, autonomy ● A very competitive compensation package ● A career path full of opportunities ● A friendly and respectful team of colleagues with a strong culture ● An entrepreneurial environment where your initiatives will be appreciated ● The offices for this position are in Tunis (Manouba)","informatique / telecoms","Mannouba, La Manouba","13 fevrier 2026","1500 - 2000 TND","Customer Service Manager","https://www.keejob.com/offres-emploi/236501/customer-service-manager/"
"PROSERVICES TRAINING COMPANY","","https://www.keejob.com/offres-emploi/companies/33559/","Stage/PFE","Ariana Ville, Ariana, Tunisie Customer Service Manager YOURENT FACTORY•La Manouba Project Reporting Specialist KROMBERG SCHUBERT CENTRE TEHNOLOGIQUE•Ariana Resp Infrastructure IT hotel PHONETASTIK ENNASER•Ariana PROSERVICES TRAINING COMPANY Secteur:enseignement / formation / puericulture Taille:Moins de 20 employes Description de l'annonce [OFFRE DE STAGE PFE / PRE-EMBAUCHE – DEVELOPPEUR FLUTTER] ProServices Training Company, centre de formation professionnelle agree, reconnu pour ses programmes innovants dans les domaines dudigital, de la tech et de l’IT, renforce son equipe technique et recrute desstagiaires PFE en Developpement Flutter. Vos principales missions : Au sein de l’equipe technique, vous participerez activement au developpement d’applications mobiles et de projets digitaux concrets. Developpement d’applications mobiles avecFlutter & DartParticipation a la conception des interfaces UI/UXIntegration d’API et gestion des donneesTests, optimisation des performances et correction de bugsCollaboration avec les equipes produit et backendParticipation a des projets reels a fort impact Etudiant(e) eninformatique, genie logiciel ou systemes d’informationBonnes bases en Flutter / DartConnaissances en API REST, Firebase ou equivalent (atout)Autonomie, motivation et esprit d’equipeInteret pour le developpement mobile et les projets concrets Ce que nous offrons : Un environnement jeune, dynamique et formateurDesprojets reelsvalorisables dans un PFEEncadrement technique et accompagnement tout au long du stagePossibilite de pre-embaucheselon performance Informations pratiques : Type de stage :Stage PFE / Pre-embaucheDisponibilite :ImmediateLieu :Ariana, Tunisie","enseignement / formation / puericulture","Ariana Ville, Ariana","12 fevrier 2026","800 - 1000 TND","Stage PFE , Developpeur Flutter","https://www.keejob.com/offres-emploi/236458/stage-pfe-d%C3%A9v%C3%A9loppeur-flutter/"
"","","","Independant/Freelance","Douar Hicher, La Manouba, Tunisie Mi-temps/Temps partiel Formateurs Vacataires INSTITUT DES SCIENCES ECONOMIQUES ET DE GESTION•Tunis Taille:Moins de 20 employes Description de l'annonce Dans le cadre du renforcement de notre equipe, nous recrutons un/uneinfographistecreatif(ve) et motive(e). Formation en design graphique / infographie ou experience equivalenteCreativite, sens du detail et esprit d’initiativeCapacite a travailler en equipe et a respecter les delais Formation en design graphique / infographie ou experience equivalente Creativite, sens du detail et esprit d’initiative Capacite a travailler en equipe et a respecter les delais Avantages : teletravail, horaires flexibles...","","Douar Hicher, La Manouba","12 fevrier 2026","467 - 9999 TND","Infographiste","https://www.keejob.com/offres-emploi/236426/infographiste/"
"TECHGATE","","https://www.keejob.com/offres-emploi/companies/34489/","CDI","Ariana Ville, Ariana, Tunisie Redacteur Web SEO H/F VISIBALL360•Ben Arous Traffic & Content Manager FORESTIA TUNISIA•Sousse PFE – Spring Boot & Angular (Remote) Students on Marketing topics. TECH COMPETENCES•Ben Arous Secteur:commerce / vente / distribution Taille:Moins de 20 employes Description de l'annonce Gerer et mettre a jour le contenu du site web de maniere reguliere et preciseAjouter les produits, informations et images tout en optimisant leur presentationAmeliorer le site pour qu’il respecte les normes des moteurs de recherche (SEO)Suivre la performance du site et optimiser l’experience utilisateurCoordonner avec les equipes marketing et commerciales pour assurer l’harmonisation des campagnes avec le contenu du site Exigences de l'emploiConnaissances en optimisation pour les moteurs de recherche (SEO)Capacite a rediger et a structurer un contenu attractif et professionnelConnaissance des bases de la conception graphique et du traitement visuel du contenuCompetences analytiques et suivi des indicateurs de performance digitaleDiscipline et respect des delais Exigences de l'emploi Connaissances en optimisation pour les moteurs de recherche (SEO)Capacite a rediger et a structurer un contenu attractif et professionnelConnaissance des bases de la conception graphique et du traitement visuel du contenuCompetences analytiques et suivi des indicateurs de performance digitaleDiscipline et respect des delais","commerce / vente / distribution","Ariana Ville, Ariana","11 fevrier 2026","850 - 1400 TND","Webmaster","https://www.keejob.com/offres-emploi/236392/webmaster/"
"","","","","Tunis, Tunisie Responsable maintenance electrique Entreprise Anonyme•Ben Arous technicien superieur en genie electrique GENERALE ELECTRIQUE INDUSTRIELLE ET INSTRUMENTATION•Bizerte Dessinateur en Electricite Entreprise Anonyme•Ariana Animateur Methodes (Technicien methodes) Support Technique Maintenance Secteur:sante / paramedical / optique Taille:Entre 100 et 200 employes Description de l'annonce Multinationaleactivant dans le secteur pharmaceutique recrute : Responsable du saisi des parametres de la machine, notamment la pression, la stabilite et la vitesse, pour s’assurer que la ligne de production fonctionne conformement aux BPF et aux SOP.Intervenir dans le cas d’une defaillance technique.Assurer le depannage industriel en cas de besoin.Changer les pieces defectueuses, mettre au point les reglages des machines et des equipements automatises.Optimiser la production, sa securite et son cout.Faire des proposition pour ameliorer la qualite du service. De formation Technicien en Maintenance Industrielle, en Mecanique ou en Electromecanique, vous attestez d’une experience reussie d’au moins 2 ans . Outre vos competences techniques, vous etes un homme de terrain, dynamique, rigoureux, dote d’un esprit d’equipe et vous avez la volonte de reussir et d’evoluer.","","Tunis","11 fevrier 2026","","Conducteur machine","https://www.keejob.com/offres-emploi/236370/conducteur-machine/"
"KROMBERG SCHUBERT CENTRE TEHNOLOGIQUE","https://www.keejob.com/media/recruiter/recruiter_26779/logo-26779-20221104-153736.jpg.300x300_q85_crop-smart.png","https://www.keejob.com/offres-emploi/companies/26779/","","Raoued, Ariana, Tunisie Locale, Internationale Customer Service Manager YOURENT FACTORY•La Manouba Chef de Projet Liaison au Sol Responsable maintenance electrique Entreprise Anonyme•Ben Arous Stage PFE , Developpeur Flutter PROSERVICES TRAINING COMPANY•Ariana Dessinateur en Electricite Entreprise Anonyme•Ariana KROMBERG SCHUBERT CENTRE TEHNOLOGIQUE Secteur:automobile / moteurs / engins mecaniques Taille:Entre 100 et 200 employes Description de l'annonce Le Centre TechnologiqueKROMBERG & SCHUBERT, implante au technopole Elghazela, est a la recherche de profils experimentes dans le domaine del'industrie automobile! Appartenant a ungroupe allemandetabli depuis1903,notre centre de recherche et developpement s'est bati une solide reputation en tant que leader dans le developpement et la conception du cablage. Au-dela de notre expertise reconnue dans la fabrication du cablage, nous nous definissons egalement comme des partenaires de developpement et d'innovation dans le secteur automobile! LeProject Reporting Specialistassiste au pilotage des projets d’industrialisation depuis la phase de nomination jusqu’au lancement en production serie. Veritable pilier de la gouvernance projet, il/elle facilite la coordination entre les departements ingenierie, qualite, achats, production et autres parties prenantes afin d’assurer l’alignement sur les delais, les couts et les exigences techniques. Il/elle est egalement responsable du reporting en temps voulu des KPI predefinis aupres des chefs de projet et les differentes parties prenantes. Les exisgences du poste Excellentes capacites destorytelling executif, avec une maitrise de PowerPoint et des techniques creatives de visualisation de donnees.Personneautonome, proactiveet capable de travailler de maniere independante avec un fort esprit d’initiative.Assertive, resiliente et perseverante, avec une forte capacite a mener les taches jusqu’a leur aboutissement.Disponibilite pour des deplacements professionnels lorsque necessaire.Intelligence emotionnelle eleveeet solides competences relationnelles.Diplome en ingenierie, management industriel, business, analyse de donnees & indicateurs, ou domaine equivalent, avec un fort interet pour le developpement d’une expertise dans la production d.1 a 3 ans d’experience dans le secteur automobile, avec des connaissances de base des processus de production et de fabrication du cablage automobile.Excellente maitrise de l’anglais; l’allemand constitue un atout.Connaissances de base engestion de projet, programmation et outils d’analyse de donnees. Si ce poste vous interesse, n’hesitez pas a postuler des maintenant. Rejoignez-nous et lancez votre carriere! Emplacement:Technopole el Ghazela. NB:Seuls les candidats retenus pour la premiere phase de la selection seront contactes","","Raoued, Ariana","15 fevrier 2026","","Project Reporting Specialist","https://www.keejob.com/offres-emploi/236311/project-reporting-specialist/"
"LASER INFORMATIQUE","","https://www.keejob.com/offres-emploi/companies/17544/","CDI","Centre ville, Tunis, Tunisie Formateurs Vacataires INSTITUT DES SCIENCES ECONOMIQUES ET DE GESTION•Tunis 3x Developpeurs COBOL PFE UI/UX Designer (Mobile app Food Delivery) Secteur:enseignement / formation / puericulture Taille:Moins de 20 employes Description de l'annonce Pour les besoins de developpement de nos Projet en Windev, nous avons besoins de recruter un ou une developpeur Windev avec une experience d'au moins 2 ans. Notre societe est l'une des plus ancienne du secteur informatique. Elle exerce depuis plus de 30 ans dans le secteur Informatique. Nous sommes connus dans le secteur des concessionnaires Auto et les Secteur des repartiteurs de Medicaments. Nous sommes installes au Centre de Tunis avec acces a tous les moyens de transport. Avec une bonne ambiance de travail.","enseignement / formation / puericulture","Centre ville, Tunis","10 fevrier 2026","1500 - 2500 TND","Developpeur Windev","https://www.keejob.com/offres-emploi/236302/developpeur-windev/"
"STAROIL","","https://www.keejob.com/offres-emploi/companies/13841/","","Takelsa, Nabeul, Tunisie Customer Service Manager YOURENT FACTORY•La Manouba Stage PFE , Developpeur Flutter PROSERVICES TRAINING COMPANY•Ariana Formateurs Vacataires INSTITUT DES SCIENCES ECONOMIQUES ET DE GESTION•Tunis PHONETASTIK ENNASER•Ariana Responsable Infrastructure et Exploitation IT Secteur:commerce / vente / distribution Taille:Entre 20 et 100 employes Description de l'annonce Notre Hotel cherche a recruter un responsable Infrastructure ITMissions principales :Prendre en charge les incidents de Help Desk concernant :PC et peripheriques (imprimantes, scanners)Televiseurs et telephonesGerer et maintenir les Active Directory (ADs)Diagnostiquer et resoudre les problemes reseau : points d’acces (AP), switches, cablageAssurer le support et la maintenance des systemes de videosurveillance et camerasConfigurer et administrer les points d’acces Wi-Fi et les switches reseauCompetences requises :Excellente connaissance des environnements Windows Server et ADMaitrise des equipements reseau (switches, APs, routeurs)Capacite a resoudre rapidement les problemes materiels et logicielsBonnes competences en diagnostic et support techniqueConnaissance des systemes de videosurveillance IP Notre Hotel cherche a recruter un responsable Infrastructure IT Missions principales : Prendre en charge les incidents de Help Desk concernant :PC et peripheriques (imprimantes, scanners)Televiseurs et telephonesGerer et maintenir les Active Directory (ADs)Diagnostiquer et resoudre les problemes reseau : points d’acces (AP), switches, cablageAssurer le support et la maintenance des systemes de videosurveillance et camerasConfigurer et administrer les points d’acces Wi-Fi et les switches reseau PC et peripheriques (imprimantes, scanners)Televiseurs et telephones Competences requises : Excellente connaissance des environnements Windows Server et ADMaitrise des equipements reseau (switches, APs, routeurs)Capacite a resoudre rapidement les problemes materiels et logicielsBonnes competences en diagnostic et support techniqueConnaissance des systemes de videosurveillance IP","","Takelsa, Nabeul","10 fevrier 2026","","Resp Infrastructure IT hotel","https://www.keejob.com/offres-emploi/236272/resp-infrastructure-it-h%C3%B4tel/"
"SOFABI","","https://www.keejob.com/offres-emploi/companies/25160/","CDI","La Goulette, Tunis, Tunisie Formations professionnelles Entreprise Anonyme•Tunis PROSERVICES TRAINING COMPANY•Ariana Offre de Stage – Graphisme Entreprise Anonyme•Tunis Offre de Stage – Community Manager Entreprise Anonyme•Tunis Secteur:artisanat / textile / cuir Taille:Entre 20 et 100 employes Description de l'annonce SOFABI est un atelier de fabrication joailliere reconnu, en pleine expansion. Nous concevons et fabriquons des bijoux haut de gamme destines a une clientele locale et internationale, en alliant creativite, rigueur et exigence. Dans une logique de structuration et d’harmonisation de notre image de marque, nous developpons actuellement : Descatalogues produitset supports marketing (digitaux & print)Deschartes graphiquespour notre communication globaleUnsite e-commerceen cours de construction viaOdoo, destine a presenter nos collections et renforcer l’experience client Dans ce contexte, nous recrutons2 Designers Graphiquespour renforcer durablement notre equipe creative. Concevoir et decliner dessupports graphiques digitaux et printParticiper a la creation et a l’evolution del’identite visuellede SOFABIRealiser desmaquettes visuelles(web, catalogues, supports marketing)Travailler sur la mise en page de catalogues produits et documents commerciauxCreer des visuels adaptes au web : bannieres, visuels reseaux sociaux, elements graphiquesAssurer lacoherence graphiqueentre tous les supports de communicationCollaborer avec les equipes marketing, photo et web (Odoo) Excellente maitrise dePhotoshop, Illustrator, InDesignBonne comprehension de lamise en page, des grilles et de la hierarchie visuelleSensibilite audesign haut de gammeet aux detailsRigueur, coherence graphique et precision d’executionNotions enUX/UIou en design web = un plusConnaissance d’Odooou de l’univers web = un atout apprecie Creatif·ve, structure·e ettres ponctuel·leA l’aise dans un environnement exigeant et collaboratifCapable de proposer des idees tout en respectant une direction artistique definieOrganise·e, autonome, attentif·ve a la qualite finaleUne experience dans leluxe, la mode ou le design premiumest un plus, mais pas obligatoire Travailsur site uniquement– L’AouinaHoraires : Lundi a vendredi :8h30 – 18hSamedi :8h30 – 14hPas de teletravailConges fixes par la directionEnvironnementlaique, structure et ouvert a tous les profils","artisanat / textile / cuir","La Goulette, Tunis","10 fevrier 2026","700 - 1100 TND","Designer Graphiste","https://www.keejob.com/offres-emploi/236259/designer-graphiste/"
"INSTITUT DES SCIENCES ECONOMIQUES ET DE GESTION","","https://www.keejob.com/offres-emploi/companies/32913/","","Bab Bhar, Tunis, Tunisie Customer Service Manager YOURENT FACTORY•La Manouba Entreprise Anonyme•La Manouba Comptable fournisseur Assistante Administrative et Comptable SHEMA BUSINESS SOLUTIONS•Ariana INSTITUT DES SCIENCES ECONOMIQUES ET DE GESTION Secteur:enseignement / formation / puericulture Taille:Moins de 20 employes Description de l'annonce ✅Commerce✅Informatique✅Comptabilite✅Management Nous recherchons des formateurs : Ayant uneexperience dans l’enseignement professionnel ou superieurCompetents,ponctuelsetrigoureuxDisposant de solidesconnaissances pedagogiquesCapables d’assurer l’encadrement, lesuiviet l’accompagnement des etudiants Ayant uneexperience dans l’enseignement professionnel ou superieur Competents,ponctuelsetrigoureux Disposant de solidesconnaissances pedagogiques Capables d’assurer l’encadrement, lesuiviet l’accompagnement des etudiants Minimum BAC +5dans la specialite concernee Minimum BAC +5dans la specialite concernee Au moins une (01) annee d’experiencedans l’enseignement superieur ou professionnel Au moins une (01) annee d’experiencedans l’enseignement superieur ou professionnel","enseignement / formation / puericulture","Bab Bhar, Tunis","9 fevrier 2026","","Formateurs Vacataires","https://www.keejob.com/offres-emploi/236193/formateurs-vacataires/"
