title,company,location,date,job_link,description
Data Analyst (Excel),Jumpit Srl,"Brugherio, Lombardy, Italy",2026-02-09,https://it.linkedin.com/jobs/view/data-analyst-excel-at-jumpit-srl-4361873254?position=1&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=5qwX%2Bzvfo0bgpbJ%2F9RAG3w%3D%3D,Description not available
Data Analyst,Holding Moda,Greater Turin Metropolitan Area,2026-02-10,https://it.linkedin.com/jobs/view/data-analyst-at-holding-moda-4363005437?position=2&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=diR6pcYty%2B92UjavBcY9hQ%3D%3D,Description not available
Data Analyst,ADENTIS Italia,"Milan, Lombardy, Italy",2026-02-10,https://it.linkedin.com/jobs/view/data-analyst-at-adentis-italia-4370655750?position=3&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=vnlJmu24DE%2BQuvwwNU7yRQ%3D%3D,Description not available
Data Analyst,TNP Italia,"Milan, Lombardy, Italy",2026-02-10,https://it.linkedin.com/jobs/view/data-analyst-at-tnp-italia-4362276287?position=4&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=oJiK8zCbZzZRnSiWaEuUdg%3D%3D,Description not available
Analista dati,Cinetix Group,"Rome, Latium, Italy",2026-02-09,https://it.linkedin.com/jobs/view/analista-dati-at-cinetix-group-4361797860?position=5&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=7s5WpQbq6YolOdzffCm60w%3D%3D,Description not available
Internship Business Intelligence,CRIBIS,"Milan, Lombardy, Italy",2026-02-09,https://it.linkedin.com/jobs/view/internship-business-intelligence-at-cribis-4361797678?position=6&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=iPY%2BurmO00H41bv2hlXnTA%3D%3D,Description not available
Data Analyst (Smartphone Industry),Xiaomi Technology,"Milan, Lombardy, Italy",2026-01-26,https://it.linkedin.com/jobs/view/data-analyst-smartphone-industry-at-xiaomi-technology-4359124844?position=7&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=q%2Fj%2BIeet0C3lKG2K0bLuTQ%3D%3D,Description not available
Junior Data Analyst,SIAE,"Rome, Latium, Italy",2026-01-20,https://it.linkedin.com/jobs/view/junior-data-analyst-at-siae-4361960399?position=8&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=Szer%2F1pbaBxaTpht1Pkxig%3D%3D,Description not available
SENIOR BUSINESS & DATA ANALYST,Grafton Recruitment,"Milan, Lombardy, Italy",2026-02-09,https://it.linkedin.com/jobs/view/senior-business-data-analyst-at-grafton-recruitment-4362231860?position=9&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=jkSIbdUBZ63Hi8tYvH6SaA%3D%3D,"Il team Technology & Innovation di Grafton, brand globale che si occupa di Professional Recruitment, ricerca per azienda italiana leader nella micromobilità

SENIOR BUSINESS & DATA ANALYST
Il Senior Business Analyst ricoprirà un ruolo al 70% sul Business, al 30% sul dato e lavorerà su due aree fondamentali:

Clienti e app:
Analisi del comportamento utenti, funnel di utilizzo, retention, pricing e campagne CRM, con l’obiettivo di aumentare la fidelizzazione e migliorare la customer experience.

Operations e flotta
Monitoraggio e ottimizzazione dei KPI legati a disponibilità mezzi, utilizzo, costi di manutenzione e performance operative (es. lock/unlock success rate), per individuare inefficienze e supportare decisioni rapide e data-driven.

Apprezzata la competenza su: Tableau
Sede: Milano

Si Offre
Inserimento tramite contratto a tempo indeterminato
Lavoro in modalità ibrida
Buoni pasto e altri benefit aziendali.
Un ambiente dinamico, internazionale e data-driven.
Autonomia decisionale e possibilità di crescita professionale.

Grafton è il brand globale che si occupa di Professional Recruitment di Gi Group Holding, la prima multinazionale italiana del lavoro e una tra le principali realtà che offrono servizi e consulenza HR a livello globale. L’offerta si intende rivolta a candidati ambosessi, nel rispetto del D.Lgs. n. 198/2006 e ss.mm.ii. e dei Decreti Legislativi n. 215 e n. 216 del 2003 sulle parità di trattamento.
I candidati sono invitati a leggere l’informativa privacy ai sensi degli artt. 13 e 14 del Reg. EU 679/2016 al seguente indirizzo https://it.grafton.com/it/privacy-candidati (Aut. Min. del 15/04/2014 Prot. N: 39/4903)"
Data Analyst (0 Experience Required),Peroptyx,Italy,2026-02-12,https://it.linkedin.com/jobs/view/data-analyst-0-experience-required-at-peroptyx-4370355816?position=10&pageNum=0&refId=b7rzz70eEHzYLWgPNo6b6g%3D%3D&trackingId=HPEHLIgROKzcTR0IP7oCCg%3D%3D,Description not available
