"company","company_logo_url","description_preview","experience","full_description","location","posted_date","title","url"
"Hewlett-Packard","https://static.naukimg.com/ni/nipjp/10001411/10001411_srp.gif","Manage on-site software service delivery, ensuring customer satisfaction through technical support, relationship building, and proactive problem-solving while leveraging advance...","5 - 7 Years","Job Description Roles & Responsibilities Job Family Definition: Within the family there is a range of technical and managerial customer on-site functions. The family of jobs is focused on managing the onsite delivering of software services, pre-sales, post-sales or service delivery support, installation and configuration for customer environments. The jobs solve various business systems, networking and applications problems for standard industry servers, specialized or complex clustered environments. Deliver reactive and proactive activities according to Service Level Agreement to ensure customer satisfaction and loyalty. Provides direct post-sales systems on site technical support for reactive and proactive customers. Each position maintains a high level of customer satisfaction by ensuring clear business and technical solution alignment, clarifying customer needs and ensuring that they are met. Jobs are responsible for company Total Customer Experience as well as the revenue growth, profitability, and account retention. Management Level Definition: Applies developed subject matter knowledge to solve common and complex business issues and recommends appropriate alternatives. Works on problems of diverse complexity and scope. May act as a team or project leader providing direction to team activities and facilitates information validation and team decision making process. Exercises independent judgment to identify and select a solution. Ability to handle most unique situations. May seek advice in order to make decisions on complex business issues. Responsibilities: Apply advanced technical knowledge to operate one or more technology areas (e.g. server administration, technical security management, performance management) or customer groups that are critical or high- risk. Integrate technical knowledge and business understanding to create. solutions for customers. Resolve single- and cross- technology incidents independently. Work with team members to resolve unusually complex or cross- technology incidents. Proactively and reactively look for solutions to prevent problems from occurring in team/technology area. Apply company solutions to meet highly complex customer needs. Identify additional services that could lead to future service revenue growth. Provide technical consulting during contract renewal discussions. Build and maintain strong relationship up to senior management level in assigned accounts. Design and deliver support solutions using specific industry knowledge and expertise. Assist in managing delivery of industry support solutions. Lead Customer Expectation management as part of escalation process. Lead cross-team or large programs/projects. Coach or guide junior consultants. Knowledge and Skills: Thorough knowledge of company products and services offerings, company organization, competition, third party products and market trends. Broad knowledge of corporate organization, job, and policies. Comprehensive business, technical or functional knowledge at an expert level. Communicate tactfully with diplomacy up to senior management levels within an organization. Active listening skills and ability to adjust messages to audience level. Problem-solving skills (proactive, reactive and creative). Able to employ exemplary consulting skills by becoming a trusted advisor to the customer and providing clarity to solution determination. Well versed in core technical competencies and peaked in some technical area(s) intermediate skills in project management, communication, analysis and presentation. Provide suggestions for operational efficiencies.","Tunisia - Tunisia","16 hrs ago","Account Delivery Manager with Italian","https://www.naukrigulf.com/account-delivery-manager-with-italian-jobs-in-tunisia-in-hewlett-packard-5-to-7-years-n-cd-10001411-jid-160226500983"
"Hewlett-Packard","https://static.naukimg.com/ni/nipjp/10001411/10001411_srp.gif","Manage customer support and technical solutions, ensuring satisfaction and account retention while possessing advanced technical knowledge and fluency in Italian.","5 - 10 Years","Job Description Roles & Responsibilities Job Family Definition: Within the family there is a range of technical and managerial customer on-site functions. The family of jobs is focused on managing the onsite delivering of software services, pre-sales, post-sales or service delivery support, installation and configuration for customer environments. The jobs solve various business systems, networking and applications problems for standard industry servers, specialized or complex clustered environments. Deliver reactive and proactive activities according to Service Level Agreement to ensure customer satisfaction and loyalty. Provides direct post-sales systems on site technical support for reactive and proactive customers. Each position maintains a high level of customer satisfaction by ensuring clear business and technical solution alignment, clarifying customer needs and ensuring that they are met. Jobs are responsible for company Total Customer Experience as well as the revenue growth, profitability, and account retention. Management Level Definition: Applies developed subject matter knowledge to solve common and complex business issues and recommends appropriate alternatives. Works on problems of diverse complexity and scope. May act as a team or project leader providing direction to team activities and facilitates information validation and team decision making process. Exercises independent judgment to identify and select a solution. Ability to handle most unique situations. May seek advice in order to make decisions on complex business issues. Responsibilities: Apply advanced technical knowledge to operate one or more technology areas (e.g. server administration, technical security management, performance management) or customer groups that are critical or high- risk. Integrate technical knowledge and business understanding to create. solutions for customers. Resolve single- and cross- technology incidents independently. Work with team members to resolve unusually complex or cross- technology incidents. Proactively and reactively look for solutions to prevent problems from occurring in team/technology area. Apply company solutions to meet highly complex customer needs. Identify additional services that could lead to future service revenue growth. Provide technical consulting during contract renewal discussions. Build and maintain strong relationship up to senior management level in assigned accounts. Design and deliver support solutions using specific industry knowledge and expertise. Assist in managing delivery of industry support solutions. Lead Customer Expectation management as part of escalation process. Lead cross-team or large programs/projects. Coach or guide junior consultants. Education and Experience Required: Bachelor's degree preferred or Associate degree holder (technical field) with 5- 7 years working experience in related fields desired. Knowledge and Skills: Thorough knowledge of company products and services offerings, company organization, competition, third party products and market trends. Broad knowledge of corporate organization, job, and policies. Comprehensive business, technical or functional knowledge at an expert level. Communicate tactfully with diplomacy up to senior management levels within an organization. Active listening skills and ability to adjust messages to audience level. Problem-solving skills (proactive, reactive and creative). Able to employ exemplary consulting skills by becoming a trusted advisor to the customer and providing clarity to solution determination. Well versed in core technical competencies and peaked in some technical area(s) intermediate skills in project management, communication, analysis and presentation. Provide suggestions for operational efficiencies.","Tunisia - Tunisia","16 hrs ago","Account Support Manager with Italian","https://www.naukrigulf.com/account-support-manager-with-italian-jobs-in-tunisia-in-hewlett-packard-5-to-10-years-n-cd-10001411-jid-160226500982"
"Hewlett-Packard","https://static.naukimg.com/ni/nipjp/10001411/10001411_srp.gif","Lead operational excellence and transformation initiatives, driving governance, performance management, and innovation to optimize customer experience and organizational perform...","8 - 13 Years","Job Description Roles & Responsibilities We are looking for Business Operations Lead Tunis HUB to join our team! Lead and orchestrate operational excellence for the Global Technical Support Tunis HUB and Geos by driving governance, performance management, and transformation initiatives. Act as the strategic enabler and single point of accountability for operational processes, ensuring alignment with corporate objectives and bold goals. Deliver executive-level business reviews, foster collaboration across hubs, and champion innovation through automation, analytics, and continuous improvement to optimize customer experience and organizational performance. How you will make your mark: Operational Excellence & Governance Deploy and measure Objectives and Key Results (OKRs) aligned with Business bold goals. Define and track KPIs across Global Technical Support. Drive performance reviews and ensure alignment with organizational goals. Lead operational excellence through standardization, simplification, and automation of business processes. Own HUB governance and policies, ensuring compliance and driving metrics leadership. Enable end-to-end customer experience through analytics, insights, and dashboards. Standardize processes, enforce compliance, and mitigate risks. Collaborate with Ops Leads, SME s and hubs globally to ensure operational excellence. Prepare and deliver Quarterly Business Reviews (QBRs) and organizational performance reports for senior leadership. Consolidate insights into clear, actionable narratives for executive decision-making. Strategy, Planning & Transformation Drive internal transformation projects across the organization. Drive cost optimization and ROI tracking for transformation projects. Drive financial discipline across the organization. Build and lead current and future Cap-Cap models. Ensure timely delivery of milestones and adoption of new processes. Own and deploy the Organization s Plan of Record (PoR). Contribute to strategic planning and governance frameworks that optimize operational performance. Align resource planning with business priorities. Align operational priorities with corporate objectives and transformation roadmaps. Serve as the bridge between business strategy and execution, ensuring operational readiness for growth initiatives. Promote collaboration across HPE Operations and hubs. Innovation & Continuous Improvement Champion innovation and automation initiatives to modernize operations. Incubate ideas for process automation, AI-driven analytics, and digital transformation. Identify opportunities for process optimization and digital transformation. Drive operational maturity assessments and benchmark against industry best practices.","Tunisia - Tunisia","11 Feb","Business Operations Lead Tunis HUB","https://www.naukrigulf.com/business-operations-lead-tunis-hub-jobs-in-tunisia-in-hewlett-packard-8-to-13-years-n-cd-10001411-jid-110226500800"
"Questel","https://static.naukimg.com/ni/nipjp/40001777/40001777_srp.gif","The role involves analyzing business needs, documenting requirements, conducting testing, and improving Salesforce processes while collaborating with stakeholders and teams.","2 - 6 Years","Job Description Roles & Responsibilities Position Overview: The Salesforce Business Analyst is responsible for analyzing, translating, and documenting business needs to support the implementation and optimization of Salesforce-based platforms, including Equinox Corporate+ and Equinox Invention. Acting as a bridge between business and technology, this role ensures that functional requirements are clearly defined, and solutions are delivered to meet end-user expectations. Principal Duties & Responsibilities: Collaborate with internal stakeholders and Solution Engineers to gather, analyze, and document functional requirements Translate business needs into user stories and define acceptance criteria for development and testing Organize and lead functional testing campaigns and user acceptance testing (UAT) in sandbox and Trials environments Coordinate with Salesforce administrators and developers on deployment activities, including Change Sets, Salesforce CLI, and Git workflows Validate successful implementation of new features, proactively monitor actions, and resolve any post-deployment issues Identify opportunities for continuous improvement of Salesforce business processes and platform usability Maintain user documentation and functional documentation and user guides to promote the adoption of implemented solutions Participate in Agile ceremonies and ensure alignment between solutions and business priorities Stay current on Salesforce platform developments and assess potential impact on current systems Collaborate with cross-functional teams and R&D teams supporting the Orbit Invention platforms to support functional evolution and optimization Work on special projects and other duties as assigned by management Qualifications & Skills: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill and/or ability required. Reasonable accommodation may be made to enable individuals with disabilities to perform the essential function. Education and Experience: Bachelor s degree in Business Administration, Information Systems, Computer Science, or a related field preferred; or any combination of education, experience and training which provides the following knowledge, skills and abilities: Minimum 2 years of experience in Salesforce functional analysis and implementation required Salesforce Business Analyst Certification preferred Proficient in Salesforce native tools such as Flows, Validation Rules, and Custom Objects Understanding of APEX and SOQL Familiar with Salesforce Sandbox Management, Change Sets, Salesforce CLI, and Git Experience using tools such as JIRA, Confluence, and working within Agile/Scrum frameworks Strong analytical, organizational, and documentation skills Excellent verbal and written communication in English Self-starter with the ability to work independently and collaboratively across teams Effective at managing multiple priorities in a fast-paced, global environment Adaptable, solutions-oriented and proactive in identifying improvements This job description may evolve based on business needs.","Tunis - Tunisia","9 Feb","Salesforce Business Analyst","https://www.naukrigulf.com/salesforce-business-analyst-jobs-in-tunis-tunisia-in-questel-2-to-6-years-n-cd-40001777-jid-090226500561"
"SBS Software","https://static.naukimg.com/ni/nipjp/40003719/40003719_srp.gif","Assist in implementing marketing plans, organizing events, coordinating with teams, and analyzing campaign performance; requires strong organizational skills and fluency in Fren...","1 - 2 Years","Job Description Roles & Responsibilities Job Description Our international and collaborative marketing team designs and implements digital campaigns, events, go-to-market strategies, and communication programs that enhance the global visibility of the SBS brand. As a marketing intern for the MEA region , you will work closely with the sales and marketing teams to develop and implement local initiatives that directly support business growth. Your tasks Contribute to the implementation of the operational marketing plan for the MEA region. Helping with event organization. Ensure coordination with agencies, suppliers and service providers to guarantee quality and adherence to deadlines. Ensure the monitoring of local campaigns (emails, content, sales materials, localized social networks). Monitor and analyze the performance of field activities (reports, measurement of return on investment, recommendations). Ensure continuous monitoring of key achievements in the region (new contracts, strategic signings, go lives, business milestones). Coordinate with local teams (sales, delivery, management) to collect, qualify and validate information. Qualifications Currently enrolled in a bachelor's or master's degree (M1/M2) in marketing, business, communication or a related field. Strong organizational skills, attention to detail and a proactive mindset. Excellent interpersonal and writing skills. Proficient in PowerPoint and Excel; experience with CRM or marketing automation tools is a plus. Fluency in French and English is required.","Tunis - Tunisia","9 Feb","Marketing Intern MEA","https://www.naukrigulf.com/marketing-intern-mea-jobs-in-tunis-tunisia-in-sbs-software-1-to-2-years-n-cd-40003719-jid-090226500021"
"NeoXam Tunisie","https://static.naukimg.com/ni/nipjp/40001082/40001082_srp.gif","Responsible for planning and managing software releases, ensuring quality and coordination among teams, with expertise in SDLC, Agile, and CI/CD.","3 - 8 Years","Job Description Roles & Responsibilities As part of NeoXam s R&D department, the Release Manager is responsible for planning, coordinating, and managing DataHub software releases across multiple environments and projects. This role ensures smooth deployment of new features, enhancements, and fixes by aligning development, testing, and business teams. The Release Manager oversees the end-to-end release lifecycle from planning and build integration to testing, deployment, and post-release validation ensuring minimal disruption and maximum quality. MISSION Release Planning & Governance Define, document, and manage the overall release calendar across multiple stakeholders. Collaborate with product owners, development leads, and the QA team to identify release scope and dependencies. Establish and maintain release governance standards, policies, and processes. Coordination & Communication Act as the central point of contact for all release-related activities and communications. Facilitate release readiness reviews, go/no-go meetings, and post-release retrospectives. Communicate release scope, milestones, and risks to all stakeholders. Release Execution & Deployment Coordinate build deployments and ensure version control, tagging, and release documentation are properly maintained. Manage deployment pipelines (CI/CD) in collaboration with DevOps and Infrastructure teams. Ensure rollback, recovery, and contingency procedures are in place and tested. Quality & Risk Management Monitor release quality by aligning with QA team on testing outcomes and defect tracking. Identify potential risks and conflicts early in the release cycle and drive mitigation strategies. Track release metrics (success rate, failure rate, deployment time, etc.) to improve future performance. Automation & Continuous Improvement Partner with DevOps to streamline and automate release processes where feasible. Continuously review and enhance release processes for efficiency, predictability, and scalability. PROFILE Strong understanding of SDLC, Agile, DevOps, and CI/CD principles. Excellent organizational and stakeholder management skills. Hands-on experience with release tools such as Jira, Git, Bitbucket, Jenkins, Artifactory, good to have Azure DevOps, or GitLab CI/CD. Proven experience managing releases across multiple environments and teams (DEV, QA, UAT, PROD). Strong analytical and problem-solving abilities. Proven ability to work under pressure and manage multiple concurrent releases. It s even better if you have : Experience in regulated industries (finance, healthcare, etc.) with controlled release processes. PMO, Agile/Scrum or ITIL certification(s) Familiarity with cloud environments (AWS, Azure, GCP). We are looking for a highly rigorous and persistent professional with excellent communication skills and the ability to drive and promote best practices across teams. You will also bring a continuous improvement mindset and strong capabilities in risk management and issue resolution to support the team s performance and long-term success. WHAT WE OFFER A permanent contract (CDI). A pleasant and collaborative work environment, where team spirit is key. An attractive compensation package, including a fixed salary, performance bonus, meal vouchers, health and life insurance. A flexible and hybrid work model, combining remote work and on-site presence. And much more...","Tunis - Tunisia","3 Feb","Release Manager","https://www.naukrigulf.com/release-manager-jobs-in-tunis-tunisia-in-neoxam-tunisie-3-to-8-years-n-cd-40001082-jid-030226501119"
"think tank Business Solutions AG","https://static.naukimg.com/ni/nipjp/40002442/40002442_srp.gif","Responsible for developing cloud computing solutions, performing application maintenance, and utilizing DevOps tools with strong programming and communication skills.","1 - 3 Years","Job Description Roles & Responsibilities Responsibilities: Responsible for working with development teams to translate scalability, performance, reliability, and functional requirements to virtualized/cloud computing solutions with strong capacity in the management of cloud computing clusters. You will be responsible for routine application maintenance tasks, create requirements and procedures for implementing routine maintenance and troubleshooting existing information systems for errors, and resolving errors You will be responsible for developing and building IT solutions and installing and configure solutions, implement reusable components, translate technical requirements, assist with all stages of test data, develop interface stubs and simulators, and perform script maintenance and updates, Participate in the processes of strategic project-planning meetings and providing guidance and expertise on system options, Qualifications: Knowledge of best practices in support of IT operations and a good understanding of programming languages, including Java, br> Hands-on experience with configuration and use of DevOps tools and software process automation with popular scripting languages (Perl, python, ruby, shell, javascript ..).br> Proficiency in Cloud Services: Amazon web services. Microsoft Cloud Azure, Google Cloud, ../ Good understanding of System Administration: Monitoring Tools, Networking concepts, Backups.br> Good experience in terms of build, release, and configuration management in a CI/CD environment (version control, CM, ).br> Ability to work with containerization platforms such as Kubernetes, Docker; cloud provisioning software, including Ansible, br> Provide high performance cloud deployment solutions and maintain rapid deployment pipelines,br> Current understanding of best practices regarding system security measures.br> Strong written communications skills are necessary for writing clear and concise documentation also as well as verbal communication skills to relate with team members, clients, and others in a workplace./p>","Tunisia - Tunisia","29 Jan","Junior DevOps Engineer","https://www.naukrigulf.com/junior-devops-engineer-jobs-in-tunisia-in-think-tank-business-solutions-ag-1-to-3-years-n-cd-40002442-jid-290126501720"
"Hewlett-Packard","https://static.naukimg.com/ni/nipjp/10001411/10001411_srp.gif","Provide technical support for hardware and software issues, ensuring customer satisfaction and effective communication in Spanish while resolving problems.","0 - 1 Year","Job Description Roles & Responsibilities Job Description: We are looking for L1 Support Engineer with Spanish language to join our team! How you ll make your mark: Successfully resolve technical issues (hardware and software) from incoming internal or external businesses and end user's contacts and proactive notification systems. Respond to service, product, technical, and customer- relations questions on subjects such as features, specifications, and repairs on current and discontinued products, parts, and options, based on customer entitlement (warranty through mission-critical). . Resolve incoming internal or external businesses and end user's problems via telephone and e-support. Articulate both in writing and verbally case summary, resolution and add to Knowledge Management System (KMS). Proactively assist customers to avoid or reduce problem occurrence. Represent the company in a face to face customer location visit, industry conference/trade show, vendor meeting, etc. Engage team members for support as required to ensure internal or external business and end user SLA demands are met. Begin to partner with and assist the Sales Pursuit team. About you: 0-1 year experience in relevant technologies and customer environments. Relevant industry qualification where applicable Excellent verbal and written communication skills in language to be supported. Experience in troubleshooting in a technical environment. Excellent analytical and problem solving skills. Software and hardware knowledge of computing, storage and peripheral devices. Advanced proficiency with case management databases and tools. Superior customer service skills. Phone and remote support experience. E-support experience. Fluent Spanish language What We Can Offer You: Health & Wellbeing We strive to provide our team members and their loved ones with a comprehensive suite of benefits that supports their physical, financial and emotional wellbeing. Personal & Professional Development We also invest in your career because the better you are, the better we all are. We have specific programs catered to helping you reach any career goals you have whether you want to become a knowledge expert in your field or apply your skills to another division. Unconditional Inclusion We are unconditionally inclusive in the way we work and celebrate individual uniqueness. We know varied backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs. We make bold moves, together, and are a force for good.","Tunisia - Tunisia","27 Jan","L1 Storage Support Engineer with Spanish","https://www.naukrigulf.com/l1-storage-support-engineer-with-spanish-jobs-in-tunisia-in-hewlett-packard-0-to-1-year-n-cd-10001411-jid-270126503033"
"Hewlett-Packard","https://static.naukimg.com/ni/nipjp/10001411/10001411_srp.gif","The role involves resolving technical issues, providing customer support, and requires excellent communication skills in English and Italian.","0 - 1 Year","Job Description Roles & Responsibilities Job Description: We are looking for L1 Storage Support Engineer with Italian language to join our team! How you ll make your mark: Successfully resolve technical issues (hardware and software) from incoming internal or external businesses and end user's contacts and proactive notification systems. Respond to service, product, technical, and customer- relations questions on subjects such as features, specifications, and repairs on current and discontinued products, parts, and options, based on customer entitlement (warranty through mission-critical). . Resolve incoming internal or external businesses and end user's problems via telephone and e-support. Articulate both in writing and verbally case summary, resolution and add to Knowledge Management System (KMS). Proactively assist customers to avoid or reduce problem occurrence. Represent the company in a face to face customer location visit, industry conference/trade show, vendor meeting, etc. Engage team members for support as required to ensure internal or external business and end user SLA demands are met. Begin to partner with and assist the Sales Pursuit team. About you: 0-1 year experience in relevant technologies and customer environments. Relevant industry qualification where applicable Excellent verbal and written communication skills in language to be supported. Experience in troubleshooting in a technical environment. Excellent analytical and problem solving skills. Software and hardware knowledge of computing, storage and peripheral devices. Advanced proficiency with case management databases and tools. Superior customer service skills. Phone and remote support experience. E-support experience. Fluent English and Italian languages Additional Skills: Accountability, Accountability, Action Planning, Active Learning, Active Listening, Bias, Business Growth, Business Planning, Coaching, Commercial Acumen, Creativity, Critical Thinking, Cross-Functional Teamwork, Customer Experience Strategy, Customer Solutions, Data Analysis Management, Data Collection Management (Inactive), Data Controls, Design Thinking, Empathy, Follow-Through, Growth Mindset, Intellectual Curiosity (Inactive), Long Term Planning, Managing Ambiguity {+ 5 more} What We Can Offer You: Health & Wellbeing We strive to provide our team members and their loved ones with a comprehensive suite of benefits that supports their physical, financial and emotional wellbeing. Personal & Professional Development We also invest in your career because the better you are, the better we all are. We have specific programs catered to helping you reach any career goals you have whether you want to become a knowledge expert in your field or apply your skills to another division. Unconditional Inclusion We are unconditionally inclusive in the way we work and celebrate individual uniqueness. We know varied backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs. We make bold moves, together, and are a force for good.","Tunisia - Tunisia","27 Jan","L1 Storage Support Engineer Italian","https://www.naukrigulf.com/l1-storage-support-engineer-italian-jobs-in-tunisia-in-hewlett-packard-0-to-1-year-n-cd-10001411-jid-270126500900"
"Vneuron","https://static.naukimg.com/ni/nipjp/10009202/10009202_srp.gif","Implement software integrations, analyze requirements, configure solutions, and document technical implementations while possessing strong analytical and communication skills.","3 - 5 Years","Job Description Roles & Responsibilities Implement seamless software integrations,analyze requirements, draft specs, configure and develop solutions, connect REIS with client systems, model business rules, support deployment and document technical implementations. About Vneuron and Reis RCS Vneuron is a fast-growing RegTech company helping financial institutions stay ahead of compliance and risk challenges. Our solution, Reis RCS , supports banks and financial services in fighting financial crime through advanced technology. In 2025, Vneuron was named among the Top Innovators in the FinCrimeTech50 and won the Best Compliance as a Service Solution at the RegTech Insight Awards Europe. Weve also been recognized in the RegTech100 for the fourth year in a row a global list of the most innovative companies in the field. If youre looking to join a team thats making a real impact in the world of compliance and technology, Vneuron is the place to be. Our Culture & Values Vneuron puts the development of its team at the heart of its priorities. We provide a pleasant and comfortable work environment. Our organization is collaborative and flat-structured. And, our management is available and present. Moreover, We have a passionate and committed young team who values respect and sharing spirit. You will be surrounded by highly skilled experts willing to guide you to evolve in all aspects of your career. We aim to spread our innovative technology worldwide, so we can take part in generating a positive impact. We believe that every person is unique and special. Thus, we provide attentive and active listening to your ideas and propositions as we believe that you will have an essential role in achieving our next milestone. Why would you love to join us? Challenging context to expand your technical and professional skills Opportunity to start a promising career Pleasant and comfortable work environment (Relaxation and play areas) Work along with our passionate and brilliant Spark team Highly qualified mentor to guide you through the realization of your project Being surrounded by Highly skilled experts in different fields such as Software Architecture, Software Release Management, Software Quality Assurance, Project Management, Consulting, Selling, etc. Equal opportunity no matter your gender, religion, culture, color, etc. Responsibilities: Analyze project requirements while considering the functionalities of the REIS suite. Contribute to the drafting of technical specification documents. Perform configurations and developments required for the implementation of technical and functional requirements. Integrate and implement interfacing mechanisms between the REIS suite and the clients information system. Model business rules and implement them in the REIS platform, following best practices. Estimate the workload needed to complete the technical part of the project. Provide support during the deployment and acceptance testing phases in the clients environment. Write documentation for the implemented technical solutions. Profile: Having a degree in Computer Science, ideally with a component in Business Management. Having strong analytical skills, allowing for effective modeling and optimal implementation of business needs. Demonstrating rigor, method, and a solution-oriented mindset. Possessing excellent communication abilities and ease in collaborative environments. Being adaptable and able to perform well under pressure. Good knowledge of JavaScript, Postman, Form.io, Freemarker, UML/BPMN, GitLab, SQL, and PostgreSQL. Good mastery of data integration mechanisms and tools such as Talend/ETL and Spring Integration. Proficient in Microsoft Office tools. Benefits : The opportunity to work on exciting projects that are generating a positive impact around the world. Career Growth opportunity Healthcare and wellness Benefits to you and your family An evolving and pleasant environment where diversity is applauded, and success is celebrated. Appropriate conditions to help you focus on what you love doing A winning team that has relied on Respect, Sharing and Passion for what it does Equal Employment Opportunities : Gender, religious, culture equity Possibility to work remotely","Tunis - Tunisia","27 Jan","Software Integration Consultant","https://www.naukrigulf.com/software-integration-consultant-jobs-in-tunis-tunisia-in-vneuron-3-to-5-years-n-cd-10009202-jid-270126500137"
