title,company,location,date,job_link,description,source,required_skills
DATA ENGINEER CONFIRME (IT),RED TIC,"Tunis, Tunis, Tunisia",03/31/2026,https://tn.linkedin.com/jobs/view/data-engineer-confirme-it-at-red-tic-4393247239?position=1&pageNum=0&refId=pkrx1bT03oZibdhKy2cNJw%3D%3D&trackingId=HOl9bFDEIzshZbmpIaGo6A%3D%3D,"CDD Tunis Publié il y a 10 mois RED TIC recherche un(e) Data Engineer Confirmé(e) pour renforcer notre équipe data et contribuer à la conception, au développement et à l’optimisation de pipelines de données robustes et scalables. Vous jouerez un rôle clé dans la valorisation de la donnée, en assurant sa qualité, sa disponibilité et son exploitation efficace par les équipes analytiques et métiers. Missions Concevoir, développer et maintenir des pipelines ETL/ELT pour l’ingestion, la transformation et la distribution de données. Optimiser les performances des traitements de données, en assurant leur fiabilité et leur scalabilité. Collaborer avec les Data Scientists, Analysts et équipes métiers pour répondre à leurs besoins en données. Participer à la mise en place de solutions de data lake, data warehouse ou plateforme analytique cloud (BigQuery, Snowflake, Redshift…). Mettre en œuvre les bonnes pratiques de gouvernance, de sécurité et de qualité des données. Documenter les architectures, les flux de données et les processus techniques. Profil Recherché Bac+5 en informatique, data engineering ou équivalent. Expérience confirmée (3 à 5 ans) en tant que Data Engineer dans des environnements data complexes. Maîtrise avancée de SQL et d’un langage de programmation (Python, Scala…). Solide expérience sur les outils et frameworks de traitement de données (Airflow, Spark, DBT…). Connaissance des environnements cloud (GCP, AWS, Azure) et des architectures orientées données. Bonne compréhension des enjeux de qualité, sécurité et gouvernance des données. Esprit analytique, rigueur et capacité à travailler en équipe. Pourquoi nous rejoindre ? Pour intégrer une équipe passionnée et experte dans l’écosystème data. Pour travailler sur des projets à fort impact au cœur de la transformation digitale. Pour bénéficier d’un environnement agile, stimulant et en constante évolution technologique. recruitment consulting management training sourcing job jobs offer internship morocco africa java développement developpement développeur developpeur informatique application it jee android consultant devops fullstack. D’abord. Tout d’abord. En premier lieu. Ensuite, de plus. Finalement. En outre. Par ailleurs. En dernier lieu. enfin. D’abord, En premier lieu, Pour commencer, Premièrement, En conclusions ur conclure, Enfn, Finalement, En dernier lieu, bien que. il y a aussi il est vrai que… mais. tout en reconnaissant que… on peut supposer que. Par exemple . En fait . Prenons le cas de. Considérons, par exemple. L’exemple le plus r. Cependant. Mais. Pourtant. Toutefois. Néanmoins. Contraste. Alors que. Tandis que. Par contre. En revanche Data Nom et Prénom Adresse Email Mobile Niveau d étude Bac Bac +1 Bac +2 Bac +3 Bac +4 Bac +5 Bac + X Années d’Expérience 0 +1 +2 +3 +4 +5 +6 +7 +8 +9 + 10 Préavis Disponible immédiatement -1 mois 1 mois 2 mois +2 mois Message Upload CV Téléverser votre CV ou tout autre document relatif. Taille max: 2 MB. Consentement à la conservation des données J’accepte que mes données personnelles et mon CV soient collectés et conservés par RED TIC pour être recontacté(e) au sujet de cette offre ou d’autres opportunités correspondant à mon profil.",linkedin,
Junior Finance (Junior Accountant),Presto,"Tunis, Tunis, Tunisia",04/20/2026,https://tn.linkedin.com/jobs/view/junior-finance-junior-accountant-at-presto-4401289836?position=2&pageNum=0&refId=pkrx1bT03oZibdhKy2cNJw%3D%3D&trackingId=G%2BMGlCAMtNIlM9Bkwk6PAA%3D%3D,"We’re Hiring: Junior Finance (Junior Accountant) Location: Tunis Company: Presto Technology About the Role We are looking for a motivated Junior Finance professional to support our Finance team in daily accounting operations, ensuring accurate financial records, transaction processing, and compliance with internal policies and local regulations. Key Responsibilities Record daily financial transactions and maintain accurate accounting records Support accounts payable and receivable processes Assist with reconciliations and monthly closing activities Monitor expenses, petty cash, and financial documentation Support payroll data preparation and verification Assist in financial reporting, budgeting, and data analysis Maintain proper documentation and support audits and tax filings Requirements Bachelor’s degree in accounting or finance 2+ years of relevant experience Basic knowledge of local tax regulations Strong Excel skills and attention to detail Experience with ERP systems (Odoo is a plus) Why Join Us? Join a fast-growing and dynamic environment where you will gain hands-on experience and grow your career in finance. 📩 Apply now: recruitment.tn@presto.app 📌 Subject: Junior Finance – Tunisia",linkedin,
DATA SCIENTIST,RED TIC,"Tunis, Tunis, Tunisia",03/30/2026,https://tn.linkedin.com/jobs/view/data-scientist-at-red-tic-4393243149?position=3&pageNum=0&refId=pkrx1bT03oZibdhKy2cNJw%3D%3D&trackingId=xZZRIBslmaSvayd%2Fb2oROQ%3D%3D,"CDI Tunis Publié il y a 6 mois RED TIC recherche un Data Scientist talentueux et passionné par la valorisation des données pour rejoindre notre équipe. Votre mission consistera à concevoir, développer et déployer des modèles analytiques et prédictifs afin d’orienter les décisions stratégiques de l’entreprise. Vous interviendrez à chaque étape du cycle de vie de la donnée — de sa collecte à son exploitation — dans un environnement collaboratif et orienté innovation. Missions Analyse Et Modélisation Des Données Identifier, collecter et préparer les données issues de différentes sources internes et externes. Concevoir et entraîner des modèles de machine learning et deep learning adaptés aux problématiques métier. Évaluer la performance des modèles à l’aide de métriques pertinentes et les optimiser pour améliorer leur fiabilité. Réaliser des analyses exploratoires et descriptives afin de détecter des tendances, corrélations et anomalies. Exploitation Et Industrialisation Collaborer avec les Data Engineers pour assurer la mise en production des modèles. Développer des scripts et pipelines de traitement des données automatisés. Participer à l’intégration des solutions analytiques dans les outils décisionnels de l’entreprise. Documenter les modèles et assurer la traçabilité des résultats. Collaboration Et Accompagnement Travailler en étroite collaboration avec les équipes métiers pour comprendre leurs besoins et les traduire en solutions data-driven. Présenter les résultats et insights de manière claire et visuelle (dashboards, visualisations, storytelling). Participer à la diffusion d’une culture data au sein de l’entreprise. Profil recherché Formation Bac+5 en Data Science, Mathématiques appliquées, Informatique ou Statistiques. Minimum 3 à 5 ans d’expérience sur un poste similaire. Maîtrise des langages Python (Pandas, NumPy, Scikit-learn, TensorFlow, PyTorch) et SQL. Solides compétences en statistiques, modélisation prédictive et analyse de données. Bonne connaissance des environnements Cloud (AWS, Azure ou GCP) et des outils de visualisation (Power BI, Tableau, Looker). Esprit analytique, rigueur scientifique et goût pour la résolution de problèmes complexes. Excellentes capacités de communication pour vulgariser les résultats auprès des équipes métiers. Pourquoi nous rejoindre ? Intégrez une structure où la donnée est au cœur de la stratégie d’innovation. Participez à des projets stimulants mêlant IA, automatisation et data engineering. Collaborez avec des experts passionnés dans un environnement agile et collaboratif. Bénéficiez d’un cadre de travail flexible et d’opportunités d’évolution à fort potentiel. management training sourcing job jobs offer internship morocco africa java développement developpement développeur developpeur informatique application it jee android consultant devops fullstack. D’abord. Tout d’abord. En premier lieu. Ensuite, de plus. Finalement. En outre. Par ailleurs. En dernier lieu. enfin. D’abord, En premier lieu, Pour commencer, Premièrement, En conclusions ur conclure, Enfn, Finalement, En dernier lieu, bien que. il y a aussi il est vrai que… mais. tout en reconnaissant que… on peut supposer que. Par exemple . En fait . Prenons le cas de. Considérons, par exemple. L’exemple le plus r. Cependant. Mais. Pourtant. Toutefois. Néanmoins. Contraste. Alors que. Tandis que. Par contre. En revanche Data Scientist Nom et Prénom Adresse Email Mobile Niveau d étude Bac Bac +1 Bac +2 Bac +3 Bac +4 Bac +5 Bac + X Années d’Expérience 0 +1 +2 +3 +4 +5 +6 +7 +8 +9 + 10 Préavis Disponible immédiatement -1 mois 1 mois 2 mois +2 mois Message Upload CV Téléverser votre CV ou tout autre document relatif. Taille max: 2 MB. Consentement à la conservation des données J’accepte que mes données personnelles et mon CV soient collectés et conservés par RED TIC pour être recontacté(e) au sujet de cette offre ou d’autres opportunités correspondant à mon profil.",linkedin,
Data Engineer,CXG,Tunisia,03/27/2026,https://tn.linkedin.com/jobs/view/data-engineer-at-cxg-4404583117?position=4&pageNum=0&refId=pkrx1bT03oZibdhKy2cNJw%3D%3D&trackingId=yJGZMWD7powsHqk5ucJ85Q%3D%3D,"We are growing! We are currently looking to hire a Data Engineer to work with us remotely. Who we are: Founded in 2006, we're proud to be a global business. From Shanghai to Paris, we have 12 offices and operate across four continents in 70 countries. We are home to over 250 professionals from around the world, working together to serve more than 230 luxury clients. At CXG, we love to evolve, elevate, and transform experiences while bringing brand promises to life. We offer strategic solutions that impact performance and elevate the customer experience of some of the world's most iconic premium and luxury brands. Your duties will also involve: Maintain and manage website scraping configurations using Python Monitor scraping configurations for errors and potential crashes Oversee retrieved data to detect potential issues and blockages Coordinate with stakeholders to understand scraping task requirements and report issues Prepare and share periodic reports on scraping activities with stakeholders Develop necessary pipelines to ingest data into the Datalake and perform required transformations Requirements What you will bring along: Minimum 2 years of experience in a similar role Proven experience in data engineering with expertise in designing and implementing scalable data architectures Strong experience with ETL processes, data modeling, and data warehousing (Airflow & DBT preferred) Expertise in database technologies, both relational (SQL) and NoSQL Knowledge of cloud platforms, particularly Azure Solid understanding of data security measures and compliance standards Excellent Python experience for data engineering and automation Strong collaboration skills to work closely with data scientists and analysts Ability to optimize data pipelines for performance and efficiency Ability to build, test, and maintain tasks and projects Experience with version control systems, such as Git Hands-on experience with Airflow and/or DBT Experience with Terraform for infrastructure management Strong academic background in a relevant field Fluent in English (French is a plus)",linkedin,
Data Scientist,Yassir,"Tunis, Tunis, Tunisia",08/27/2025,https://tn.linkedin.com/jobs/view/data-scientist-at-yassir-4292022486?position=5&pageNum=0&refId=pkrx1bT03oZibdhKy2cNJw%3D%3D&trackingId=FVLF5oXbwW%2FBCDID0xzYqg%3D%3D,"Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa . It is backed (: $200M in funding ) by VCs from Silicon Valley, Europe and other parts of the world. We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally. Helping usher the continent into a digital economy era. We’re not just about serving people - we’re about creating a marketplace to bring people what they need while infusing social values. As data scientist at Yassir, working in the Data and AI team, you will have the opportunity to do life-changing work for Yassir’s millions of customers. You will apply groundbreaking analytics that will shape the super-app strategy of Yassir and support the growth and success of all the services Yassir is currently offering across 45 cities in 7 countries. Responsibilities: You will work on different products, including ML/AI products, front-end products and backend systems, and will apply your data analysis skills, your analytical thinking and product intuition to create a marketplace of on-demand services. You will work cross-functionally with partners across Product, Engineering, Research, Marketing, etc. to identify and solve the most important business and product problems for Yassir. You are a data ambassador and foster a data-driven product development culture. Impact: You will influence your partners’ strategy and execution. You will use data to shape product development, optimise our operations, quantify new opportunities, identify upcoming challenges, and ensure the products we build bring value to all parties in our marketplace. You will help your partner teams prioritize what to build, set goals, track and improve day-to-day progress and master their marketplace. Analytics: You will work with Engineering on collecting the right data to enable data driven decisions at Yassir. You will guide teams using data and insights. You will focus on developing hypotheses for where impact opportunities are and will develop and use a diverse toolkit of rigorous analytical approaches, statistical approaches, different methodologies, frameworks, and technical approaches to test them, building a continuous test-and-learn environment. Communication and influence: You will tell data-driven stories. You will influence your partners using insights and recommendations and move your organization to being truly and solely data-driven. Minimum Qualifications Bachelor's degree in Mathematics, Statistics, a relevant technical field, or equivalent practical experience. A minimum experience of 2 years in analytics or data science in a business or product environment. Experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R) Benefits Great compensation and bonuses including stock options Blue sky opportunity with the team; shape the strategic direction of the company Sharp, motivated co-workers in a fun hybrid environment Paid company holidays WHY YOU SHOULD JOIN YASSIR Join one of the fastest-growing tech companies in Africa Have a lasting impact on our company's culture Make a real impact on the world by helping us bring affordable financial and on-demand services to millions of Africans Work on some really hard technical challenges from identity infrastructure for Africans, digital payment networks to complex mapping and routing systems across the continent We are the first Algerian startup to go through Y Combinator program and we’re backed by top investors including Unpopular Ventures, Rebel Fund and DainTree.VC Do you want to become part of our first-class team? You should definitely send us your application. 🚀 At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen. Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together. We look forward to receiving your application! Best of luck, Your Yassir TA Team We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.",linkedin,
Data Center Technician - TN - Tunis - On-site,Reboot Monkey,"Tunis, Tunis, Tunisia",03/07/2026,https://tn.linkedin.com/jobs/view/data-center-technician-tn-tunis-on-site-at-reboot-monkey-4382622397?position=6&pageNum=0&refId=pkrx1bT03oZibdhKy2cNJw%3D%3D&trackingId=WS2ajlzKDQK2AArcRhppUQ%3D%3D,"About The Role We are seeking an experienced Data Center Technician for full-time work in Tunis, TN . This is an on-site position supporting mission-critical infrastructure at premier data center facilities. Engagement Type Full-time permanent position Standard working hours with on-call rotation Career growth opportunities Benefits package included Key Responsibilities Perform hardware installations, decommissions, and migrations Execute structured cabling (copper and fiber optic) Conduct server racking, stacking, and labeling Perform cross-connects and patch panel work Troubleshoot connectivity and hardware issues Document all work with photos and detailed notes Coordinate with remote NOC and client teams 2+ years data center or IT infrastructure experience Strong cabling skills (Cat5e/6/6a, single-mode/multi-mode fiber) Experience with server hardware (Dell, HP, Supermicro) Ability to lift 50+ lbs and work in raised floor environments Own transportation and ability to work on-site Professional communication skills in English Data center certifications (CDCP, CDCS, or similar) - preferred Network certifications (CCNA, CompTIA Network+) - preferred Experience with DCIM and ticketing systems - preferred Familiarity with major colocation providers - preferred Standard tools: screwdrivers, cable testers, label makers, fiber inspection equipment",linkedin,
Data Center Technician - TN - Tunis - On-site,Reboot Monkey,"Tunis, Tunis, Tunisia",03/07/2026,https://tn.linkedin.com/jobs/view/data-center-technician-tn-tunis-on-site-at-reboot-monkey-4382612687?position=7&pageNum=0&refId=pkrx1bT03oZibdhKy2cNJw%3D%3D&trackingId=1Jc2qAMzHge71fvj4K79oQ%3D%3D,"About The Role We are seeking an experienced Data Center Technician for freelance/contract work in Tunis, TN . This is an on-site position supporting mission-critical infrastructure at premier data center facilities. Engagement Type Contract/Freelance basis Flexible scheduling available Project-based or ongoing support Remote hands and smart hands services Key Responsibilities Perform hardware installations, decommissions, and migrations Execute structured cabling (copper and fiber optic) Conduct server racking, stacking, and labeling Perform cross-connects and patch panel work Troubleshoot connectivity and hardware issues Document all work with photos and detailed notes Coordinate with remote NOC and client teams 2+ years data center or IT infrastructure experience Strong cabling skills (Cat5e/6/6a, single-mode/multi-mode fiber) Experience with server hardware (Dell, HP, Supermicro) Ability to lift 50+ lbs and work in raised floor environments Own transportation and ability to work on-site Professional communication skills in English Data center certifications (CDCP, CDCS, or similar) - preferred Network certifications (CCNA, CompTIA Network+) - preferred Experience with DCIM and ticketing systems - preferred Familiarity with major colocation providers - preferred Standard tools: screwdrivers, cable testers, label makers, fiber inspection equipment",linkedin,
Business Development Coordinator,SMU - South Mediterranean University (MSB- MedTech-LCI),"Tunis, Tunis, Tunisia",05/29/2025,https://tn.linkedin.com/jobs/view/business-development-coordinator-at-smu-south-mediterranean-university-msb-medtech-lci-4238017881?position=8&pageNum=0&refId=pkrx1bT03oZibdhKy2cNJw%3D%3D&trackingId=184FZqPRw2o9ZBsPb9Ey6g%3D%3D,"Job Title: Business Development Coordinator Department: Business Development Location: South Mediterranean University (SMU) Reports To: Business Development Director Job Summary The Business Development Coordinator supports the implementation of SMU’s corporate engagement strategy by assisting with data management, event coordination, communication activities, and partner relationship logistics. This role requires strong organizational, analytical, and communication skills to ensure smooth execution of internal processes and external-facing initiatives that contribute to the university’s development and visibility. Key Responsibilities Data Management & Analysis Clean, classify, and maintain databases related to partnerships and business development activities. Prepare and structure data for accreditation purposes (e.g., EPAS). Draft the annual Business Development report based on performance data and partner engagement. Monitor and follow up on ongoing collaborations with company partners. Interdepartmental Collaboration Ensure coordination between the Business Development Department and other internal departments (e.g., Career Services, IT, Communication). Share relevant internship and job opportunities with Career Services. Event & Partnership Coordination Manage logistics for Business Development events including workshops, conferences, and company visits. Coordinate with partners and guests to ensure effective external engagement. Track and manage event attendance and related documentation. Handle partnership-related paperwork and follow-up processes. Communication & Visibility Maintain and grow the Business Development Department’s LinkedIn profile and presence. Promote internal and external events related to Business Development. Maintain ongoing communication with clients, partners, and stakeholders to support long-term engagement. Required Competencies And Skills Communication & Interpersonal Skills Excellent written and verbal communication skills in both French and English. Ability to engage confidently with internal teams, external partners, and stakeholders. Strong interpersonal skills with a collaborative and service-oriented mindset. Organizational & Analytical Skills Proven ability to prioritize tasks, manage multiple deadlines, and handle logistical coordination. Strong attention to detail with the ability to analyze data, track performance, and generate reports. Autonomy and initiative in driving forward projects and follow-up actions. Technical Proficiency Advanced proficiency in Microsoft Office Suite (Excel, Word, PowerPoint). Comfortable working with databases, CRM tools, and digital platforms (e.g., LinkedIn). Required Qualifications Bachelor’s degree in Business, Communication, Marketing, or a related field. Prior experience in event coordination, administrative support, or partnership management. Familiarity with the higher education or corporate training sector is a plus. To apply, please send your CV and cover letter to hr.development@smu.tn",linkedin,
ANALYST INFORMATIQUE,RED TIC,"Tunis, Tunis, Tunisia",03/30/2026,https://tn.linkedin.com/jobs/view/analyst-informatique-at-red-tic-4393219909?position=9&pageNum=0&refId=pkrx1bT03oZibdhKy2cNJw%3D%3D&trackingId=7ot8hn78qvNcUdPfC62fOg%3D%3D,"CDI Tunis Publié il y a 2 mois RED TIC recherche un(e) Business Analyst Informatique pour accompagner l’un de nos partenaires dans l’analyse des besoins métiers et la mise en place de solutions IT performantes. Profil recherché 3 à 7 ans d’expérience en Business Analysis IT. Formation Bac+5 en informatique, systèmes d’information ou gestion. Expérience en collecte et formalisation des besoins métiers. Compétences techniques Rédaction de spécifications fonctionnelles et user stories Modélisation des processus (UML, BPMN) Outils de gestion de projet Agile ou Scrum Connaissance des environnements SI, Data ou ERP Bonne maîtrise de SQL ou outils BI appréciée Missions principales Analyser les besoins des utilisateurs et proposer des solutions IT adaptées Traduire les besoins métiers en spécifications fonctionnelles Collaborer avec les équipes techniques et métiers Participer aux tests, recettes et déploiements Assurer le suivi des projets et l’amélioration continue Qualités personnelles Esprit d’analyse et sens de la communication Organisation et rigueur Esprit d’équipe et autonomie Bonne communication en français et en anglais recruitment consulting management training sourcing job jobs offer internship morocco africa java développement developpement développeur developpeur informatique application it jee android consultant devops fullstack. D’abord. Tout d’abord. En premier lieu. Ensuite, de plus. Finalement. En outre. Par ailleurs. En dernier lieu. enfin. D’abord, En premier lieu, Pour commencer, Premièrement, En conclusions ur conclure, Enfn, Finalement, En dernier lieu, bien que. il y a aussi il est vrai que… mais. tout en reconnaissant que… on peut supposer que. Par exemple . En fait . Prenons le cas de. Considérons, par exemple. L’exemple plus . Cependant. Mais. Pourtant. Toutefois. Néanmoins. Contraste. Alors que. Tandis que. Par contre. En revanche Analyst Informatique Nom et Prénom Adresse Email Mobile Niveau d étude Bac Bac +1 Bac +2 Bac +3 Bac +4 Bac +5 Bac + X Années d’Expérience 0 +1 +2 +3 +4 +5 +6 +7 +8 +9 + 10 Préavis Disponible immédiatement -1 mois 1 mois 2 mois +2 mois Message Upload CV Téléverser votre CV ou tout autre document relatif. Taille max: 2 MB. Consentement à la conservation des données J’accepte que mes données personnelles et mon CV soient collectés et conservés par RED TIC pour être recontacté(e) au sujet de cette offre ou d’autres opportunités correspondant à mon profil.",linkedin,
Data Operations Analyst,Odixcity Consulting,Tunisia,03/01/2026,https://tn.linkedin.com/jobs/view/data-operations-analyst-at-odixcity-consulting-4379701657?position=10&pageNum=0&refId=pkrx1bT03oZibdhKy2cNJw%3D%3D&trackingId=g6njy1X2MaxZqGDax0mEkg%3D%3D,"Job Summary: We are seeking for a Data Operations Analyst to ensure smooth handling, quality, and management of operational data for AI, ML, and business intelligence projects. This role monitors, validates, and optimizes workflows involving data ingestion, storage, transformation, and annotation. You will analyze operational datasets, ensure compliance with standards, and support teams in maintaining high data reliability. The ideal candidate is analytical, detail-oriented, and experienced in managing data pipelines and operations. Key Responsibilities Monitor and manage data pipelines and workflows. Validate data quality and integrity at each stage of processing. Support AI and data teams with dataset preparation and analysis. Identify and resolve data inconsistencies and errors. Generate reports on data operations metrics and quality KPIs. Collaborate with stakeholders to optimize data handling processes. Maintain documentation of operational workflows and procedures. Job Requirements Bachelor’s Degree in Data Science, Computer Science, Information Systems, Statistics or Mathematics. Familiarity with SQL, Excel, and database systems. Knowledge of ETL processes and data pipelines. Understanding of data validation, transformation, and cleaning techniques. Experience with cloud storage and workflow tools (AWS, GCP, Azure). Ability to manage and prioritize multiple operational tasks. Required Certifications such as Google Data Analytics Certification, Microsoft Data Fundamentals, Data Operations or ETL Training (advantage) 3-5 years of proven experience in data operations, analytics, or pipeline management.",linkedin,
