job_title,company_name,location,job_link,description,required_skills,posting_date
Ingénieur Support,Vocalcom,"Les Berges du Lac, Tunis, Tunisie",https://www.tanitjobs.com/job/1984295/ingénieur-support/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à Les Berges du Lac » Ingénieur Support Leader et fournisseur de solutions de Centre de Contacts, Vocalcom, créé en 1995, est un leader et fournisseur mondial de solutions de Centre de Contacts multi-canal pour le Service Client, les Ventes et le Marketing. Vocalcom est un groupe présent à l’échelle mondiale, et dont les bureaux sont implantés dans plus d’une dizaine de pays. Vocalcom défie la complexité des solutions existantes, longues à déployer. Conçue et développée par des professionnels des Centres de Contacts pour les professionnels des Centres de Contacts, la solution Vocalcom est rapide à déployer et facile à gérer et permet aux entreprises de toute taille d’offrir une expérience clients innovante. Une solution 100% multilingue tout-en-un disponible sur site ou en mode Cloud. Plébiscitée dans de nombreux secteurs d’activités comme le Retail, l’Assurance, la Banque, les Services ou l’Energie et utilisée par plus de 3500 entreprises dans 49 pays, Vocalcom Effortless Contact Center™ est une solution 100% multilingue tout-en-un disponible en Acquisition ou dans le Cloud. Votre mission première est de participer au maintien en condition opérationnelle des infrastructures et application de nos clients. Vous utilisez la politique des systèmes d’information et des technologies de l’information dans le respect de la réglementation et notamment : Compétences Système: Emploi Tunisie » Offres d'emploi à Les Berges du Lac » Ingénieur Support",r,Il'y a 6 jours
Technicien Système Monétique,BFI Groupe,"Les Berges du Lac 1, Tunis, Tunisie",https://www.tanitjobs.com/job/1978441/technicien-système-monétique/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à Tunis » Technicien Système Monétique Le technicien Système Monétique est responsable de l’installation, de la maintenance et du support des logiciels et systèmes liés aux Distributeurs Automatiques de Billets (DAB). Il assure également l’assistance technique aux clients et aux équipes de techniciens hardware pour résoudre les problèmes et accompagner les évolutions du système. 1. Installation et Maintenance des Logiciels des DABo Installer, configurer et mettre à jour les logiciels des DAB.o Assurer la maintenance préventive et corrective des systèmes monétiques.o Tester et valider les nouvelles versions logicielles avant déploiemento Diagnostiquer et résoudre les pannes logicielles.o Crée des scripts pour différente automatisation de tache sous Windows.2. Assistance et Support Cliento Accompagner les clients dans les changements de configuration logicielle.o Analyser et résoudre les incidents signalés par les clients.o Fournir un support technique sur site en cas de besoin.3. Collaboration avec l'Équipe Techniqueo Travailler en étroite collaboration avec les techniciens hardware pour résoudre les problèmes complexes.o Assurer le support aux équipes internes en cas de dysfonctionnement matériel nécessitant une intervention logicielle.o Aider les techniciens à diagnostiquer les problèmes réseau, ou en relation avec le serveur monétique.o Participer à l’installation et à la configuration des nouveaux équipements.4. Formation et Assistance :o Former les clients et les techniciens sur les nouveaux logiciels et fonctionnalités.o Rédiger des guides techniques et des supports de formation.o Documenter et rédiger des rapports techniques.o Etude de faisabilité, accompagner les clients dans les évolutions et les changements techniques (mises à jour, migrations, etc.). • Diplôme d'un diplôme de licence ou équivalent en informatique,• Une expérience dans le domaine de la monétique et/ou des systèmes bancaires serait un atout.• Forte capacité d’analyse et de résolution de problèmes.• Excellentes compétences en communication et relation client.• Capacité à travailler en équipe et à collaborer avec des profils techniques et non techniques.• Rigueur, autonomie, esprit d’analyse et sens de l’organisation. Compétences techniques • Maîtrise des systèmes monétiques et des logiciels de gestion des DAB.• Connaissance des protocoles de communication monétique (ISO 8583, NDC, XFS, etc.).• Connaissance des normes de sécurité monétique (PCI DSS, etc.).• Bonne compréhension des systèmes d’exploitation et des bases de données.• Capacité à diagnostiquer et résoudre les problèmes logiciels et réseau.(notamment TCP/IP, TLS, HTTP(S), DNS, SMTP).• Bonnes compétences en communication et en relation client.• Bonnes compétences en scripting et en automatisation (Cmd/PowerShell sur Windows).• Bon niveau en langue française tant à l'oral qu'à l'écrit• Bonne pratique de l'anglais technique• Bonne aisance avec l'ectromécanique et le maniment des outils de maintenances . Compétences humaines • Maîtrise des systèmes monétiques et des logiciels de gestion des DAB.• Connaissance des protocoles de communication monétique (ISO 8583, NDC, XFS, etc.).• Connaissance des normes de sécurité monétique (PCI DSS, etc.).• Bonne compréhension des systèmes d’exploitation et des bases de données.• Capacité à diagnostiquer et résoudre les problèmes logiciels et réseau.• Bonnes compétences en communication et en relation client.• Anglais, français. Veille Technologique :o Rester informé des dernières tendances et innovations dans le domaine de la monétique.o Proposer des améliorations pour optimiser les performances des systèmes. Emploi Tunisie » Offres d'emploi à Tunis » Technicien Système Monétique","excel, r",Il'y a 1 mois
Opérateur de téléprésence,801 service,"Montplaisir, Tunis, Tunisie",https://www.tanitjobs.com/job/1983509/opérateur-de-téléprésence/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à Centre ville » Opérateur de téléprésence La société 801 Service, située à Montplaisir (TU), dirigée par des managers italiens et une spin-off Cledeleau présente depuis 2011, à la recherche des téléopérateurs pour rejoindre ses effectifs.Cherchez des personnes sérieuses et fiables qui savent comment se comporter avec les autres.Notre entreprise n'est pas une entreprise de call center.Exigences du candidat:- homme ou femme;- âgé entre 30 et 45 ans;- utilisation de l'informatique bureautique;- langues parlées: français et italien.801 SERVICE vous propose:- contrat de travail à durée indéterminée, et non en mode projet;- Prime de transport;- les primes de production;- possibilité de travail: (jour et nuit);- opportunités de carrière. Veuillez Envoyer votre CV. Exigences du candidat:- homme ou femme;- âgé entre 30 et 45 ans;- utilisation de l'informatique bureautique;- langues parlées: français et italien. Emploi Tunisie » Offres d'emploi à Centre ville » Opérateur de téléprésence",r,Il'y a 1 semaine
Stage PFE Développement Logiciel de Gestion des Ressources Humaines (GRH),Web Technology Masters,"Fouchana, Ben Arous, Tunisie",https://www.tanitjobs.com/job/1982208/stage-pfe-développement-logiciel-de-gestion-des-ressources-humaines-grh/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à MGHIRA FOUCHANA » Stage PFE Développement Logiciel de Gestion des Ressources Humaines (GRH) Les modules et fonctionnalités du logiciel de Gestion des Ressources Humaines (GRH) sont : - Gestion du dossier de l’employé. - Gestion des paramètres de la paie. - Automatisation de calcul de la paie. - Gestion des recrutements, contrats de travail et promotions. - Gestion des absences. - Editions et déclarations. Contraintes techniques : Notre société intègre les technologies web modernes afin de garantir des solutions évolutives, performantes et pérennes : • Architecture : micro-service, - Java/J2EE, Spring Boot, Quarkus, - Node.js, NestJS, Laravel, - SQL, Python, Deep Learning, - API REST &GraphQL, - Databases : NoSQL (MongoDB), PostgreSQL, Oracle, MS SQL Server. • Mobile & cross-platform : - Flutter, React Native. • Cloud & DevOps : - Docker, Kubernetes, - CI/CD, GitHub Actions, GitLab CI, - AWS, Azure, Google Cloud. • Sécurité & performance : - OWASP, tests de vulnérabilité, - Optimisation des performances et scalabilité. Module Intelligence Artificielle (IA) : Il est envisagé de développer un module IA et ce, conformément aux spécificités du présent projet (e_learning, benchmark, marketplace, business intelligence, outils d'aide à la décision, etc...). Emploi Tunisie » Offres d'emploi à MGHIRA FOUCHANA » Stage PFE Développement Logiciel de Gestion des Ressources Humaines (GRH)","aws, azure, ci/cd, deep learning, docker, git, go, graphql, java, kubernetes, laravel, mongodb, node.js, oracle, postgresql, python, r, react, scala, spring, sql",Il'y a 2 semaines
Ingénieur en Analyse des Risques de Sécurité,NOUVELAIR HANDLING,"Monastir, Monastir, Tunisie",https://www.tanitjobs.com/job/1980312/ingénieur-en-analyse-des-risques-de-sécurité/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à -Monastir » Ingénieur en Analyse des Risques de Sécurité Dans le cadre du développement de notre filiale Aero Travel Digital Solutions (ATD), nous souhaitons recruter un(e) jeune ingénieur(e) diplômé(e) d’une grande école, motivé(e) et désireux(se) de s’investir dans des projets innovants. - Ingénieur en Cybersécurité ( BAC+5) - expérience souhaitée en gestion des risques de sécurité informatique - compréhension approfondie des menaces, probabilité, vulnérabilité, vecteurs d'attaque et mesures de protection adaptées au contexte d'un système d'information moderne - Maitrise de méthodologies de gestion des risques, idéalement appuyé par une formation ou une certification reconnue ( EBIOS RM, MEHARI, ou équivalent. - Bonne connaissance des standards et normes de sécurité: ISO 27001 & ISO 27005 Emploi Tunisie » Offres d'emploi à -Monastir » Ingénieur en Analyse des Risques de Sécurité","git, r",Il'y a 1 semaine
Analyste Test & Validation Sénior certifié ISTQB® – Spécialiste en Automatisation (réf 2/2026),SIMAC,"Tunis, Tunis, Tunisie",https://www.tanitjobs.com/job/1866551/analyste-test-validation-sénior-certifié-istqb-spécialiste-en-automatisation-réf-2-2026/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à Tunis » Analyste Test & Validation Sénior certifié ISTQB® – Spécialiste en Automatisation (réf 2/2026) Définir la stratégie des tests ; Définir les scénarios de tests ; Préparer les cahiers de recette ; Créer les jeux de données de tests ; Exécuter les tests manuels et automatiques ; Consigner les résultats de l’exécution des tests ; Analyser les résultats et préparer les rapports de dysfonctionnement ; Suivre les anomalies jusqu’à leur résolution ; Suivre la documentation et assurer la communication des actions réalisées ; Élaborer les guides de tests fonctionnels ; Définir et préparer les échantillons de données ; Encadrer ou accompagner les profils juniors dans la mise en œuvre des bonnes pratiques de test. Formation académique : maîtrise en informatique, master professionnel en informatique ou diplôme d’ingénieur en informatique ; Minimum 5 années d’expérience dans un poste similaire avec une implication directe dans des projets d’envergure ; Certification ISTQB® (niveau Fondation ou supérieur) obligatoire ; Expérience confirmée en automatisation des tests (Selenium, Cucumber, etc.) ; Excellente maîtrise de l’outil informatique ; Très bonne maîtrise de la langue française (orale et écrite) ; Connaissance approfondie des outils de gestion de tests (SQUASH, Selenium, Cucumber, etc.) ; Une bonne connaissance des métiers de gestion (Comptabilité, Finance, RH, Immobilisations, Stocks, etc.) est un atout ; Capacité à travailler en autonomie, avec rigueur et sens de l’analyse. Emploi Tunisie » Offres d'emploi à Tunis » Analyste Test & Validation Sénior certifié ISTQB® – Spécialiste en Automatisation (réf 2/2026)","excel, r",Il'y a 1 semaine
Poste ingénieur DevOps (SPID010),Smart Conseil,"Cité El Ghazala, Ariana, Tunisie",https://www.tanitjobs.com/job/1980967/poste-ingénieur-devops-spid010/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à Aida, cité el Ghazala » Poste ingénieur DevOps (SPID010) Smart Conseil accompagne les grands comptes dans leur transformation digitale. Nous intervenons pour nos clients sur les phases de conception, de développement sur les dernières technologies, ou encore le pilotage de projets en mode agile. Nous vous proposons : La mission principale du DevOps est d'être le garant de la performance et la continuité de services des solutions et du développement à la production (qualité du déploiement, adéquation des infrastructures, disponibilité des services). Compétences techniques : Emploi Tunisie » Offres d'emploi à Aida, cité el Ghazala » Poste ingénieur DevOps (SPID010)","agile, git, r",Il'y a 3 semaines
graphic designer-packaging&printing specialist,Quick,"Montplaisir, Tunis, Tunisie",https://www.tanitjobs.com/job/1978964/graphic-designer-packaging-printing-specialist/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à Avenue Mohamed V, Tunis, Tunisie » graphic designer-packaging&printing specialist Design food packaging adapted to printing standards Create logos and visual identity Prepare company profile and marketing materials Coordinate designs with printing requirements Requirements: Proven experience in graphic design and printing Strong knowledge of packaging for food products Mastery of Adobe Illustrator, Photoshop, etc. Creativity and attention to detail Design food packaging adapted to printing standards Create logos and visual identity Prepare company profile and marketing materials Coordinate designs with printing requirements Requirements: Proven experience in graphic design and printing Strong knowledge of packaging for food products Mastery of Adobe Illustrator, Photoshop, etc. Creativity and attention to detai Emploi Tunisie » Offres d'emploi à Avenue Mohamed V, Tunis, Tunisie » graphic designer-packaging&printing specialist","go, r",Il'y a 4 semaines
Offre de stage / Jeune diplômé – Développement Web (Front-end) - SIVP possible pour la suite,Wize ailien,"Manar 2, Tunis, Tunisie",https://www.tanitjobs.com/job/1979647/offre-de-stage-jeune-diplômé-développement-web-front-end-sivp-possible-pour-la-suite/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à El Manar 2, Tunis » Offre de stage / Jeune diplômé – Développement Web (Front-end) - SIVP possible pour la suite Présentation de l’entreprise Nous sommes une jeune entreprise récemment créée, spécialisée en data, développement logiciel et intelligence artificielle. Nous développons des solutions logicielles modernes et intelligentes, pensées pour créer de la valeur métier à travers l’automatisation, la donnée et l’intégration de technologies avancées. Notre structure est à taille humaine, favorisant l’autonomie, la proximité technique et la responsabilisation. Présentation du poste Nous recherchons un(e) stagiaire en fin d’études (PFE) ou un(e) jeune diplômé(e) en développement web, dans le cadre d’un stage d’intégration, pour participer à la conception et au développement du site web de l’entreprise, ainsi qu’à des interventions front-end sur certains projets internes critiques, à partir d’une vision produit claire et d’objectifs techniques définis. Missions principales Participer au développement du site web de l’entreprise à partir d’une vision et de maquettes existantes Implémenter les fonctionnalités et interfaces définies en amont Contribuer à l’amélioration continue du site (structure, ergonomie, performance, clarté du contenu) Intervenir sur le front-end de projets internes critiques, basés sur des fonctionnalités classiques et/ou intégrant des agents d’intelligence artificielle, selon le niveau et les compétences du candidat Développer des interfaces web modernes (applications web, dashboards, interfaces de pilotage) Travailler sur des projets concrets avec des objectifs réels et mesurables Compétences techniques attendues Utilisation d’un framework front-end moderne (React, Next.js ou équivalent) Git (workflows de base) Gestion des dépendances front-end (NPM, Yarn ou PNPM) Structuration des composants et principes de réutilisabilité Consommation d’APIs REST Intégration d’interfaces pour services classiques et/ou agents d’intelligence artificielle Notions de performance front-end Intérêt pour les environnements data et IA Capacité à proposer des améliorations fonctionnelles ou ergonomiques Étudiant(e) ou jeune diplômé(e) en informatique ou développement logiciel Curiosité technique et capacité à apprendre de manière autonome Rigueur, sens du détail et esprit d’initiative Capacité à travailler sur des projets à fort enjeu technique Une vision produit claire et des objectifs techniques définis Une forte autonomie favorisant une montée en compétences rapide Une expérience concrète et valorisable sur des projets visibles et critiques Une exposition à des projets intégrant des fonctionnalités avancées et des agents IA Une immersion dans une jeune structure à taille humaine Une collaboration directe avec les équipes techniques et décisionnaires Emploi Tunisie » Offres d'emploi à El Manar 2, Tunis » Offre de stage / Jeune diplômé – Développement Web (Front-end) - SIVP possible pour la suite","git, go, next.js, r, react",Il'y a 3 semaines
Auditeur sécurité des systèmes d'informations,RH FORMA CONSULT,"Tunis, Tunis, Tunisie",https://www.tanitjobs.com/job/1815916/auditeur-sécurité-des-systèmes-d-informations/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à Tunis » Auditeur sécurité des systèmes d'informations RH Formaconsult, de service RH et recrutement recrute Auditeur sécurité des systèmes d'informations pour l'un de ses clients. • Gérer les projets d’implémentation et d’audit des systèmes de management. • Elaborer le plan d’audit et sa mise en œuvre. • Promouvoir et participer au processus de management des risques. • Entretenir les relations avec les auditeurs externes. • Effectuer le suivi des recommandations des audits internes et externes. • Effectuer le reporting de son activité. • Adhérer au système de management intégré de l’entreprise et participer à son amélioration continue • Analyser la demande d’audit et de certification du client. • Participer aux missions d’audit internes et externes et déterminer les ressources nécessaires • Préparer et animer les réunions d’ouverture et de clôture • Conduire les entretiens dans le respect des principes d’éthique et de l’intégrité nécessaire pour assurer l’indépendance de la mission d’audit • Analyser les informations collectées par entretiens, consultation de documents ou observation, pour détecter la non-conformité éventuelle • Rédiger les rapports d’audit et les plans d’actions associés (suites administratives, pénales ou ordinales en cas d’inspection) • Vérifier la mise en œuvre et évaluer l’efficacité des actions correctives • Conseiller les équipes par rapport à la cybersécurité Rémunération et offre : Emploi Tunisie » Offres d'emploi à Tunis » Auditeur sécurité des systèmes d'informations",r,Il'y a 3 semaines
